date,min,max,median,q1,q3,stdev,count
2022-05-28T00:00:00.000Z,0,7.3,1.1,0.6,1.7,0.955,418
2022-05-29T00:00:00.000Z,0,2.7,0.8,0.5,1.3,0.527,526
2022-05-30T00:00:00.000Z,0,9.1,0.5,0.1,1.1,1.08,381
2022-05-31T00:00:00.000Z,0,3.3,0.2,0.1,0.4,0.394,398
2022-06-01T00:00:00.000Z,0,5.2,0.2,0.1,0.7,0.504,322
2022-06-02T00:00:00.000Z,0.7,7.9,2.45,1.7,3.3,1.359,586
2022-06-03T00:00:00.000Z,0.5,14.7,5.5,2.9,8.4,3.487,608
2022-06-04T00:00:00.000Z,0.1,7.2,2.7,1.4,3.9,1.521,563
2022-06-05T00:00:00.000Z,0.1,4.5,0.9,0.6,1.5,0.781,569
2022-06-06T00:00:00.000Z,0.5,8.7,3.25,1.8,5,2.07,590
2022-06-07T00:00:00.000Z,0.2,19.1,1.4,0.7,2.1,1.432,560
2022-06-08T00:00:00.000Z,0,6,0.7,0.2,3.4,1.911,544
2022-06-09T00:00:00.000Z,0.1,5.6,1.6,0.9,2.3,1.125,566
2022-06-10T00:00:00.000Z,0,6,3,2.1,4.1,1.357,597
2022-06-11T00:00:00.000Z,0.3,7.2,3,1.3,4.2,1.567,591
2022-06-12T00:00:00.000Z,0.5,6.5,2,1.6,2.5,0.714,597
2022-06-13T00:00:00.000Z,1.4,16.6,5.5,4.5,9.94,3.962,601
2022-06-14T00:00:00.000Z,0.1,26.2,4.3,1.3,8.69,6.784,629
2022-06-15T00:00:00.000Z,0.1,8.9,1,0.7,1.2,1.323,564
2022-06-16T00:00:00.000Z,1.4,8.3,4.09,3.7,4.5,0.796,599
2022-06-17T00:00:00.000Z,0.9,14.6,5.45,2.6,7.8,3.733,546
2022-06-18T00:00:00.000Z,0,9.3,1.7,0.8,2.5,1.378,587
2022-06-19T00:00:00.000Z,0,2.8,0.7,0.5,0.95,0.386,564
2022-06-20T00:00:00.000Z,0.1,8.2,1.4,0.8,2.8,1.42,579
2022-06-21T00:00:00.000Z,0,9.9,0.4,0.1,1,0.759,534
2022-06-22T00:00:00.000Z,0,5.3,1.1,0.7,1.6,0.719,576
2022-06-23T00:00:00.000Z,0,4.1,0.5,0.2,0.8,0.583,534
2022-06-24T00:00:00.000Z,0,6.9,0.8,0.5,1.3,0.658,568
2022-06-25T00:00:00.000Z,0,5.5,1.25,0.6,2.2,1.234,574
2022-06-26T00:00:00.000Z,0.3,5.2,1.4,1,2.3,0.952,583
2022-06-27T00:00:00.000Z,0,6.4,2.2,1.1,3,1.196,567
2022-06-28T00:00:00.000Z,0,9.8,3.85,0.8,6.2,2.666,556
2022-06-29T00:00:00.000Z,0.1,3.9,1.5,1.1,2,0.749,576
2022-06-30T00:00:00.000Z,0.1,4.4,1.8,1.2,2.2,0.691,582
2022-07-01T00:00:00.000Z,0.4,8.9,1.7,1.3,2.3,0.811,598
2022-07-02T00:00:00.000Z,0.8,14.8,4.2,2.8,8.9,3.714,619
2022-07-03T00:00:00.000Z,0,10.6,3.3,1,5.9,2.591,591
2022-07-04T00:00:00.000Z,0,8.9,0.4,0.2,0.8,0.912,523
2022-07-05T00:00:00.000Z,0,26.3,2.1,0.9,3.4,3.549,571
