date,min,max,median,q1,q3,stdev,count
2022-09-07T00:00:00.000Z,5,44,23,10.5,38,13.078,156
2022-09-08T00:00:00.000Z,4,43,17,8,32,12.571,159
2022-09-09T00:00:00.000Z,8,42,22.5,20,28,7.686,158
2022-09-10T00:00:00.000Z,32,75,65,58,68,10.661,185
2022-09-11T00:00:00.000Z,22,79,54,28,73,21.093,206
2022-09-12T00:00:00.000Z,6,71,40,15,61,21.9,155
2022-09-13T00:00:00.000Z,7,47,22,11,35.5,12.572,161
2022-09-14T00:00:00.000Z,11,46,24,15,33,10.228,187
2022-09-15T00:00:00.000Z,11,57,27,20,47.5,14.369,212
2022-09-16T00:00:00.000Z,9,63,32,14.5,52,18.018,189
2022-09-17T00:00:00.000Z,11,54,24,15,38,13.225,196
2022-09-18T00:00:00.000Z,5,48,24,11,40,14.707,165
2022-09-19T00:00:00.000Z,7,43,17,10,32,11.758,193
2022-09-20T00:00:00.000Z,3,41,25,10,36,12.793,147
2022-09-21T00:00:00.000Z,9,60,33,28,43,11.119,148
2022-09-22T00:00:00.000Z,45,71,61,54,66,7.025,213
2022-09-23T00:00:00.000Z,10,78,54,16,70,26.336,199
2022-09-24T00:00:00.000Z,8,52,29,14,44,14.523,205
2022-09-25T00:00:00.000Z,13,40,19,16,27,7.039,163
2022-09-26T00:00:00.000Z,6,51,27.5,10,41,14.966,126
2022-09-27T00:00:00.000Z,10,42,22,14,30,9.227,150
2022-09-28T00:00:00.000Z,10,48,26,16,39,11.46,174
2022-09-29T00:00:00.000Z,8,52,26,12.5,42,14.28,145
2022-09-30T00:00:00.000Z,7,49,20.5,11,35.5,12.812,168
2022-10-01T00:00:00.000Z,14,62,30,21,43.5,14.23,213
2022-10-02T00:00:00.000Z,24,61,39,30,56,12.579,246
2022-10-03T00:00:00.000Z,13,66,40,18,58,19.036,203
2022-10-04T00:00:00.000Z,16,61,33,21,49,14.257,227
2022-10-05T00:00:00.000Z,29,74,57,39,63,12.947,195
2022-10-06T00:00:00.000Z,16,71,46,21,64,20.555,203
2022-10-07T00:00:00.000Z,25,77,56,53,69,11.95,197
2022-10-08T00:00:00.000Z,23,68,36,27,55,14.761,233
2022-10-09T00:00:00.000Z,13,66,41,19,59,18.747,194
2022-10-10T00:00:00.000Z,8,54,27.5,12.5,42,15.172,164
2022-10-11T00:00:00.000Z,9,41,24.5,12,33,10.719,170
2022-10-12T00:00:00.000Z,10,57,28,17,45,15.275,143
2022-10-13T00:00:00.000Z,13,57,34,18.5,47,14.581,169
2022-10-14T00:00:00.000Z,5,57,36,18,44,15.764,142
2022-10-15T00:00:00.000Z,8,40,20,12,30,9.566,129
2022-10-16T00:00:00.000Z,18,45,38,34,39,5.362,128
2022-10-17T00:00:00.000Z,18,62,33.5,22,52,14.958,206
2022-10-18T00:00:00.000Z,18,53,42,32,49,10.74,115
2022-10-21T00:00:00.000Z,5,30,18,10,22,7.513,122
2022-10-22T00:00:00.000Z,5,28,14,7.5,21,6.98,133
2022-10-23T00:00:00.000Z,12,27,21,19,23,3.376,153
2022-10-24T00:00:00.000Z,19,58,41,29,48,10.055,205
2022-10-25T00:00:00.000Z,9,44,28,12,37,11.93,129
2022-10-26T00:00:00.000Z,15,39,19,17,30,7.383,116
2022-10-27T00:00:00.000Z,22,50,43,39,45,5.783,122
2022-10-28T00:00:00.000Z,15,62,41,20,54,15.889,229
2022-10-29T00:00:00.000Z,11,54,27,15,43,14.195,159
2022-10-30T00:00:00.000Z,13,35,24,15,31,7.543,149
2022-10-31T00:00:00.000Z,7,50,32,12,43,14.634,146
2022-11-01T00:00:00.000Z,7,40,24,11.5,32,10.608,101
2022-11-02T00:00:00.000Z,7,35,26,14,30.5,8.778,125
2022-11-03T00:00:00.000Z,11,47,24,17,31,8.475,121
2022-11-04T00:00:00.000Z,19,52,46,26,49,11.823,131
2022-11-05T00:00:00.000Z,16,50,30,19,45.5,12.346,125
2022-11-06T00:00:00.000Z,14,45,28,19.5,39.5,9.412,153
